등급,과목,구분 점수,인원(명),비율(퍼센트)
1,독일어 Ⅰ,45,222,9.61
2,독일어 Ⅰ,40,173,7.49
3,독일어 Ⅰ,35,136,5.89
4,독일어 Ⅰ,30,126,5.46
5,독일어 Ⅰ,25,149,6.45
6,독일어 Ⅰ,20,242,10.48
7,독일어 Ⅰ,15,479,20.74
8,독일어 Ⅰ,10,570,24.69
9,독일어 Ⅰ,10미만,212,9.18
1,프랑스어 Ⅰ,45,216,8.06
2,프랑스어 Ⅰ,40,237,8.85
3,프랑스어 Ⅰ,35,175,6.53
4,프랑스어 Ⅰ,30,149,5.56
5,프랑스어 Ⅰ,25,155,5.79
6,프랑스어 Ⅰ,20,243,9.07
7,프랑스어 Ⅰ,15,562,20.98
8,프랑스어 Ⅰ,10,683,25.49
9,프랑스어 Ⅰ,10미만,259,9.67
1,스페인어 Ⅰ,45,250,6.14
2,스페인어 Ⅰ,40,224,5.5
3,스페인어 Ⅰ,35,208,5.11
4,스페인어 Ⅰ,30,212,5.21
5,스페인어 Ⅰ,25,323,7.93
6,스페인어 Ⅰ,20,553,13.58
7,스페인어 Ⅰ,15,889,21.83
8,스페인어 Ⅰ,10,1098,26.96
9,스페인어 Ⅰ,10미만,316,7.76
1,중국어 Ⅰ,45,606,8.61
2,중국어 Ⅰ,40,1262,17.94
3,중국어 Ⅰ,35,810,11.51
4,중국어 Ⅰ,30,538,7.65
5,중국어 Ⅰ,25,729,10.36
6,중국어 Ⅰ,20,1043,14.82
7,중국어 Ⅰ,15,1140,16.2
8,중국어 Ⅰ,10,731,10.39
9,중국어 Ⅰ,10미만,177,2.52
1,일본어 Ⅰ,45,1085,6.9
2,일본어 Ⅰ,40,1110,7.06
3,일본어 Ⅰ,35,1006,6.4
4,일본어 Ⅰ,30,872,5.55
5,일본어 Ⅰ,25,1040,6.62
6,일본어 Ⅰ,20,1566,9.97
7,일본어 Ⅰ,15,3004,19.12
8,일본어 Ⅰ,10,3930,25.01
9,일본어 Ⅰ,10미만,2101,13.37
1,러시아어 Ⅰ,45,38,6.31
2,러시아어 Ⅰ,40,36,5.98
3,러시아어 Ⅰ,35,32,5.32
4,러시아어 Ⅰ,30,29,4.82
5,러시아어 Ⅰ,25,23,3.82
6,러시아어 Ⅰ,20,35,5.81
7,러시아어 Ⅰ,15,71,11.79
8,러시아어 Ⅰ,10,205,34.05
9,러시아어 Ⅰ,10미만,133,22.09
1,아랍어 Ⅰ,45,55,1.38
2,아랍어 Ⅰ,40,26,0.65
3,아랍어 Ⅰ,35,41,1.03
4,아랍어 Ⅰ,30,117,2.94
5,아랍어 Ⅰ,25,515,12.92
6,아랍어 Ⅰ,20,1021,25.62
7,아랍어 Ⅰ,15,1099,27.58
8,아랍어 Ⅰ,10,912,22.89
9,아랍어 Ⅰ,10미만,199,4.99
1,베트남어 Ⅰ,45,48,9.78
2,베트남어 Ⅰ,40,21,4.28
3,베트남어 Ⅰ,35,14,2.85
4,베트남어 Ⅰ,30,10,2.04
