등급,과목,구분 점수,인원(명),비율(퍼센트)
2,인간발달,64,88,7.5
3,인간발달,57,183,15.59
4,인간발달,52,153,13.03
5,인간발달,45,279,23.76
6,인간발달,42,196,16.7
7,인간발달,39,107,9.11
8,인간발달,36,79,6.73
9,인간발달,36미만,42,3.58
1,독일어 Ⅰ,45,80,13.03
2,독일어 Ⅰ,40,148,24.1
3,독일어 Ⅰ,35,107,17.43
4,독일어 Ⅰ,30,81,13.19
5,독일어 Ⅰ,25,35,5.7
6,독일어 Ⅰ,20,34,5.54
7,독일어 Ⅰ,15,29,4.72
8,독일어 Ⅰ,10,64,10.42
9,독일어 Ⅰ,10미만,36,5.86
1,프랑스어 Ⅰ,45,104,14.73
2,프랑스어 Ⅰ,40,163,23.09
3,프랑스어 Ⅰ,35,156,22.1
4,프랑스어 Ⅰ,30,68,9.63
5,프랑스어 Ⅰ,25,59,8.36
6,프랑스어 Ⅰ,20,57,8.07
7,프랑스어 Ⅰ,15,45,6.37
8,프랑스어 Ⅰ,10,40,5.67
9,프랑스어 Ⅰ,10미만,14,1.98
1,스페인어 Ⅰ,45,76,9.11
2,스페인어 Ⅰ,40,105,12.59
3,스페인어 Ⅰ,35,116,13.91
4,스페인어 Ⅰ,30,94,11.27
5,스페인어 Ⅰ,25,83,9.95
6,스페인어 Ⅰ,20,82,9.83
7,스페인어 Ⅰ,15,118,14.15
8,스페인어 Ⅰ,10,123,14.75
9,스페인어 Ⅰ,10미만,37,4.44
1,중국어 Ⅰ,45,121,8.36
2,중국어 Ⅰ,40,210,14.51
3,중국어 Ⅰ,35,205,14.17
4,중국어 Ⅰ,30,171,11.82
5,중국어 Ⅰ,25,137,9.47
6,중국어 Ⅰ,20,132,9.12
7,중국어 Ⅰ,15,171,11.82
8,중국어 Ⅰ,10,192,13.27
9,중국어 Ⅰ,10미만,108,7.46
1,일본어 Ⅰ,45,276,15.32
2,일본어 Ⅰ,40,312,17.32
3,일본어 Ⅰ,35,244,13.55
4,일본어 Ⅰ,30,173,9.61
5,일본어 Ⅰ,25,151,8.38
6,일본어 Ⅰ,20,111,6.16
7,일본어 Ⅰ,15,160,8.88
8,일본어 Ⅰ,10,248,13.77
9,일본어 Ⅰ,10미만,126,7
1,러시아어 Ⅰ,45,31,18.67
2,러시아어 Ⅰ,40,19,11.45
3,러시아어 Ⅰ,35,24,14.46
4,러시아어 Ⅰ,30,20,12.05
5,러시아어 Ⅰ,25,16,9.64
6,러시아어 Ⅰ,20,11,6.63
7,러시아어 Ⅰ,15,12,7.23
8,러시아어 Ⅰ,10,16,9.64
9,러시아어 Ⅰ,10미만,17,10.24
1,아랍어 Ⅰ,45,20,7.58
2,아랍어 Ⅰ,41,8,3.03
3,아랍어 Ⅰ,37,7,2.65
4,아랍어 Ⅰ,30,8,3.03
5,아랍어 Ⅰ,25,15,5.68
6,아랍어 Ⅰ,20,32,12.12
